Date,PX_LAST
2/11/2021,0.3871
2/10/2021,0.3668
2/9/2021,0.3935
2/8/2021,0.4037
2/5/2021,0.385
2/4/2021,0.3796
2/3/2021,0.3769
2/2/2021,0.3516
2/1/2021,0.335
1/29/2021,0.323
1/28/2021,0.3225
1/27/2021,0.305
1/26/2021,0.31
1/25/2021,0.3033
1/22/2021,0.3321
1/21/2021,0.339
1/20/2021,0.3309
1/19/2021,0.3337
1/18/2021,0.338
1/15/2021,0.3398
1/14/2021,0.3695
1/13/2021,0.361
1/12/2021,0.396
1/11/2021,0.3973
1/8/2021,0.3741
1/7/2021,0.3448
1/6/2021,0.2976
1/5/2021,0.2555
1/4/2021,0.227
1/1/2021,0.2435
12/31/2020,0.244
12/30/2020,0.2564
12/29/2020,0.2688
12/28/2020,0.258
12/24/2020,0.263
12/23/2020,0.2692
12/22/2020,0.2555
12/21/2020,0.2666
12/18/2020,0.264
12/17/2020,0.258
12/16/2020,0.2456
12/15/2020,0.2474
12/14/2020,0.241
12/11/2020,0.24
12/10/2020,0.2588
12/9/2020,0.2673
12/8/2020,0.2624
12/7/2020,0.2506
12/4/2020,0.2822
12/3/2020,0.2621
12/2/2020,0.2749
12/1/2020,0.2813
11/30/2020,0.2359
11/27/2020,0.219
11/26/2020,0.243
11/25/2020,0.2445
11/24/2020,0.2445
11/23/2020,0.2373
11/20/2020,0.2232
11/19/2020,0.2224
11/18/2020,0.237
11/17/2020,0.2219
11/16/2020,0.248
11/13/2020,0.2418
11/12/2020,0.2264
11/11/2020,0.288
11/10/2020,0.2857
11/9/2020,0.2634
11/6/2020,0.2021
11/5/2020,0.1754
11/4/2020,0.174
11/3/2020,0.2305
11/2/2020,0.2104
10/30/2020,0.2264
10/29/2020,0.2129
10/28/2020,0.1859
10/27/2020,0.1797
10/26/2020,0.1992
10/23/2020,0.2266
10/22/2020,0.228
10/21/2020,0.2118
10/20/2020,0.196
10/19/2020,0.1912
10/16/2020,0.1788
10/15/2020,0.1734
10/14/2020,0.1584
10/13/2020,0.1585
10/12/2020,0.191
10/9/2020,0.189
10/8/2020,0.193
10/7/2020,0.194
10/6/2020,0.1652
10/5/2020,0.1825
10/2/2020,0.14
10/1/2020,0.1295
9/30/2020,0.1292
9/29/2020,0.111
9/28/2020,0.1148
9/25/2020,0.1177
9/24/2020,0.121
9/23/2020,0.122
9/22/2020,0.121
9/21/2020,0.1198
9/18/2020,0.1348
9/17/2020,0.1275
9/16/2020,0.13
9/15/2020,0.121
9/14/2020,0.1183
9/11/2020,0.1055
9/10/2020,0.119
9/9/2020,0.1325
9/8/2020,0.12
9/7/2020,0.155
9/4/2020,0.1525
9/3/2020,0.1122
9/2/2020,0.111
9/1/2020,0.1077
8/31/2020,0.119
8/28/2020,0.1215
8/27/2020,0.155
8/26/2020,0.128
8/25/2020,0.1265
8/24/2020,0.1031
8/21/2020,0.0967
8/20/2020,0.102
8/19/2020,0.1055
8/18/2020,0.1005
8/17/2020,0.1145
8/14/2020,0.1262
8/13/2020,0.1385
8/12/2020,0.125
8/11/2020,0.1048
8/10/2020,0.079
8/7/2020,0.07
8/6/2020,0.0497
8/5/2020,0.0503
8/4/2020,0.0205
8/3/2020,0.0472
7/31/2020,0.022
7/30/2020,0.0435
7/29/2020,0.0567
7/28/2020,0.0653
7/27/2020,0.0839
7/24/2020,0.072
7/23/2020,0.0675
7/22/2020,0.0712
7/21/2020,0.0612
7/20/2020,0.0718
7/17/2020,0.0815
7/16/2020,0.0699
7/15/2020,0.0819
7/14/2020,0.081
7/13/2020,0.0759
7/10/2020,0.0974
7/9/2020,0.0745
7/8/2020,0.09
7/7/2020,0.0755
7/6/2020,0.0881
7/3/2020,0.084
7/2/2020,0.083
7/1/2020,0.0949
6/30/2020,0.082
6/29/2020,0.0675
6/26/2020,0.0905
6/25/2020,0.1197
6/24/2020,0.1105
6/23/2020,0.121
6/22/2020,0.123
6/19/2020,0.12
6/18/2020,0.1216
6/17/2020,0.1384
6/16/2020,0.15
6/15/2020,0.149
6/12/2020,0.1301
6/11/2020,0.122
6/10/2020,0.1285
6/9/2020,0.2003
6/8/2020,0.241
6/5/2020,0.2571
6/4/2020,0.1946
6/3/2020,0.1517
6/2/2020,0.1173
6/1/2020,0.1138
5/29/2020,0.1125
5/28/2020,0.142
5/27/2020,0.137
5/26/2020,0.1395
5/25/2020,0.131
5/22/2020,0.1349
5/21/2020,0.131
5/20/2020,0.1277
5/19/2020,0.1238
5/18/2020,0.159
5/15/2020,0.0899
5/14/2020,0.0727
5/13/2020,0.0799
5/12/2020,0.074
5/11/2020,0.1047
5/8/2020,0.0967
5/7/2020,0.075
5/6/2020,0.137
5/5/2020,0.157
5/4/2020,0.1515
5/1/2020,0.1447
4/30/2020,0.1599
4/29/2020,0.167
4/28/2020,0.1728
4/27/2020,0.1996
4/24/2020,0.169
4/23/2020,0.1738
4/22/2020,0.1851
4/21/2020,0.1694
4/20/2020,0.188
4/17/2020,0.213
4/16/2020,0.2165
4/15/2020,0.2034
4/14/2020,0.289
4/13/2020,0.311
4/10/2020,0.2786
4/9/2020,0.2786
4/8/2020,0.3116
4/7/2020,0.3
4/6/2020,0.2748
4/3/2020,0.232
4/2/2020,0.226
4/1/2020,0.2282
3/31/2020,0.237
3/30/2020,0.25
3/27/2020,0.2115
3/26/2020,0.3096
3/25/2020,0.3156
3/24/2020,0.3
3/23/2020,0.208
3/20/2020,0.2308
3/19/2020,0.3854
3/18/2020,0.5254
3/17/2020,0.531
3/16/2020,0.3442
3/13/2020,0.511
3/12/2020,0.4113
3/11/2020,0.5043
3/10/2020,0.483
3/9/2020,0.3263
3/6/2020,0.482
3/5/2020,0.5389
3/4/2020,0.6277
3/3/2020,0.5867
3/2/2020,0.792
2/28/2020,0.748
2/27/2020,0.867
2/26/2020,0.9698
2/25/2020,0.9849
2/24/2020,1.0005
2/21/2020,1.101
2/20/2020,1.15
2/19/2020,1.1974
2/18/2020,1.1853
2/17/2020,1.2124
2/14/2020,1.2124
2/13/2020,1.2462
2/12/2020,1.2693
2/11/2020,1.232
2/10/2020,1.205
2/7/2020,1.225
2/6/2020,1.2735
2/5/2020,1.2695
2/4/2020,1.2165
2/3/2020,1.147
1/31/2020,1.106
1/30/2020,1.1925
1/29/2020,1.191
1/28/2020,1.262
1/27/2020,1.219
1/24/2020,1.297
1/23/2020,1.3325
1/22/2020,1.366
1/21/2020,1.368
1/20/2020,1.4105
1/17/2020,1.4092
1/16/2020,1.405
1/15/2020,1.392
1/14/2020,1.4052
1/13/2020,1.4225
1/10/2020,1.412
1/9/2020,1.43
1/8/2020,1.445
1/7/2020,1.3912
1/6/2020,1.3805
1/3/2020,1.385
1/2/2020,1.4675
12/31/2019,1.5078
12/30/2019,1.468
12/27/2019,1.4603
12/26/2019,1.4865
12/24/2019,1.494
12/23/2019,1.517
12/20/2019,1.503
12/19/2019,1.494
12/18/2019,1.4945
12/17/2019,1.4692
12/16/2019,1.4678
12/13/2019,1.407
12/12/2019,1.467
12/11/2019,1.383
12/10/2019,1.424
12/9/2019,1.407
12/6/2019,1.415
12/5/2019,1.3775
12/4/2019,1.351
12/3/2019,1.2793
12/2/2019,1.386
11/29/2019,1.372
11/27/2019,1.353
11/26/2019,1.316
11/25/2019,1.3199
11/22/2019,1.326
11/21/2019,1.3167
11/20/2019,1.296
11/19/2019,1.328
11/18/2019,1.359
11/15/2019,1.3713
11/14/2019,1.3523
11/13/2019,1.432
11/12/2019,1.477
11/11/2019,1.4638
11/8/2019,1.493
11/7/2019,1.4775
11/6/2019,1.375
11/5/2019,1.409
11/4/2019,1.34
11/1/2019,1.289
10/31/2019,1.237
10/30/2019,1.3614
10/29/2019,1.381
10/28/2019,1.3905
10/25/2019,1.3514
10/24/2019,1.326
10/23/2019,1.3138
10/22/2019,1.3523
10/21/2019,1.367
10/18/2019,1.32
10/17/2019,1.334
10/16/2019,1.321
10/15/2019,1.359
10/11/2019,1.313
10/10/2019,1.1894
10/9/2019,1.118
10/8/2019,1.1085
10/7/2019,1.143
10/4/2019,1.1026
10/3/2019,1.0893
10/2/2019,1.178
10/1/2019,1.2316
9/30/2019,1.2823
9/27/2019,1.293
9/26/2019,1.2825
9/25/2019,1.2876
9/24/2019,1.2393
9/23/2019,1.319
9/20/2019,1.3416
9/19/2019,1.352
9/18/2019,1.359
9/17/2019,1.356
9/16/2019,1.392
9/13/2019,1.4386
9/12/2019,1.332
9/11/2019,1.239
9/10/2019,1.289
9/9/2019,1.183
9/6/2019,1.1268
9/5/2019,1.1163
9/4/2019,1.011
9/3/2019,1.029
9/2/2019,1.0906
8/30/2019,1.079
8/29/2019,1.0993
8/28/2019,1.069
8/27/2019,1.0902
8/26/2019,1.117
8/23/2019,1.128
8/22/2019,1.1819
8/21/2019,1.1867
8/20/2019,1.1574
8/19/2019,1.1997
8/16/2019,1.144
8/15/2019,1.145
8/14/2019,1.2005
8/13/2019,1.302
8/12/2019,1.199
8/9/2019,1.2603
8/8/2019,1.249
8/7/2019,1.2471
8/6/2019,1.2396
8/5/2019,1.2067
8/2/2019,1.3927
8/1/2019,1.4222
7/31/2019,1.5636
7/30/2019,1.5652
7/29/2019,1.5678
7/26/2019,1.579
7/25/2019,1.5763
7/24/2019,1.5374
7/23/2019,1.5589
7/22/2019,1.5384
7/19/2019,1.554
7/18/2019,1.499
7/17/2019,1.5683
7/16/2019,1.6212
7/15/2019,1.5984
7/12/2019,1.6313
7/11/2019,1.6432
7/10/2019,1.576
7/9/2019,1.6234
7/8/2019,1.5764
7/5/2019,1.5838
7/4/2019,1.4894
7/3/2019,1.488
7/2/2019,1.5049
7/1/2019,1.5589
6/28/2019,1.5303
6/27/2019,1.531
6/26/2019,1.5216
6/25/2019,1.4768
6/24/2019,1.4658
6/21/2019,1.5351
6/20/2019,1.533
6/19/2019,1.4907
6/18/2019,1.5734
6/17/2019,1.6034
6/14/2019,1.5706
6/13/2019,1.6106
6/12/2019,1.6284
6/11/2019,1.697
6/10/2019,1.677
6/7/2019,1.6467
6/6/2019,1.6697
6/5/2019,1.6558
6/4/2019,1.6695
6/3/2019,1.5948
5/31/2019,1.6776
5/30/2019,1.7826
5/29/2019,1.8299
5/28/2019,1.8243
5/27/2019,1.8705
5/24/2019,1.8665
5/23/2019,1.8716
5/22/2019,1.98
5/21/2019,1.9891
5/20/2019,1.9407
5/17/2019,1.938
5/16/2019,1.9323
5/15/2019,1.9102
5/14/2019,1.9607
5/13/2019,1.951
5/10/2019,2.0415
5/9/2019,2.0224
5/8/2019,2.0609
5/7/2019,2.0367
5/6/2019,2.0497
5/3/2019,2.115
5/2/2019,2.133
5/1/2019,2.092
4/30/2019,2.064
4/29/2019,2.089
4/26/2019,2.068
4/25/2019,2.115
4/24/2019,2.094
4/23/2019,2.137
4/22/2019,2.166
4/19/2019,2.154
4/18/2019,2.155
4/17/2019,2.187
4/16/2019,2.188
4/15/2019,2.157
4/12/2019,2.161
4/11/2019,2.095
4/10/2019,2.054
4/9/2019,2.087
4/8/2019,2.111
4/5/2019,2.085
4/4/2019,2.102
4/3/2019,2.1
4/2/2019,2.064
4/1/2019,2.102
3/29/2019,2.017
3/28/2019,1.992
3/27/2019,1.943
3/26/2019,1.986
3/25/2019,1.95
3/22/2019,2.032
3/21/2019,2.127
3/20/2019,2.122
3/19/2019,2.208
3/18/2019,2.192
3/15/2019,2.182
3/14/2019,2.216
3/13/2019,2.219
3/12/2019,2.197
3/11/2019,2.242
3/8/2019,2.234
3/7/2019,2.243
3/6/2019,2.2941
3/5/2019,2.313
3/4/2019,2.303
3/1/2019,2.336
2/28/2019,2.29
2/27/2019,2.259
2/26/2019,2.22
2/25/2019,2.242
2/22/2019,2.247
2/21/2019,2.286
2/20/2019,2.254
2/19/2019,2.244
2/18/2019,2.278
2/15/2019,2.276
2/14/2019,2.258
2/13/2019,2.304
2/12/2019,2.28
2/11/2019,2.25
2/8/2019,2.231
2/7/2019,2.249
2/6/2019,2.28
2/5/2019,2.29
2/4/2019,2.315
2/1/2019,2.283
1/31/2019,2.224
1/30/2019,2.277
1/29/2019,2.323
1/28/2019,2.352
1/25/2019,2.372
1/24/2019,2.316
1/23/2019,2.339
1/22/2019,2.342
1/21/2019,2.398
1/18/2019,2.396
1/17/2019,2.342
1/16/2019,2.308
1/15/2019,2.3045
1/14/2019,2.297
1/11/2019,2.301
1/10/2019,2.334
1/9/2019,2.314
1/8/2019,2.341
1/7/2019,2.293
1/4/2019,2.256
1/3/2019,2.104
1/2/2019,2.233
1/1/2019,2.279
12/31/2018,2.279
12/28/2018,2.308
12/27/2018,2.367
12/26/2018,2.396
12/24/2018,2.35
12/21/2018,2.412
12/20/2018,2.44
12/19/2018,2.383
12/18/2018,2.411
12/17/2018,2.467
12/14/2018,2.501
12/13/2018,2.527
12/12/2018,2.541
12/11/2018,2.496
12/10/2018,2.462
12/7/2018,2.465
12/6/2018,2.544
12/5/2018,2.592
12/4/2018,2.59
12/3/2018,2.627
11/30/2018,2.622
11/29/2018,2.657
11/28/2018,2.666
11/27/2018,2.695
11/26/2018,2.68
11/23/2018,2.664
11/22/2018,2.688
11/21/2018,2.688
11/20/2018,2.684
11/19/2018,2.667
11/16/2018,2.672
11/15/2018,2.74
11/14/2018,2.76
11/13/2018,2.785
11/12/2018,2.829
11/9/2018,2.831
11/8/2018,2.874
11/7/2018,2.866
11/6/2018,2.848
11/5/2018,2.821
11/2/2018,2.822
11/1/2018,2.757
10/31/2018,2.777
10/30/2018,2.755
10/29/2018,2.723
10/26/2018,2.7
10/25/2018,2.738
10/24/2018,2.722
10/23/2018,2.798
10/22/2018,2.83
10/19/2018,2.823
10/18/2018,2.804
10/17/2018,2.838
10/16/2018,2.807
10/15/2018,2.8
10/12/2018,2.805
10/11/2018,2.802
10/10/2018,2.802
10/9/2018,2.862
10/8/2018,2.874
10/5/2018,2.872
10/4/2018,2.844
10/3/2018,2.833
10/2/2018,2.742
10/1/2018,2.753
9/28/2018,2.741
9/27/2018,2.74
9/26/2018,2.733
9/25/2018,2.772
9/24/2018,2.763
9/21/2018,2.748
9/20/2018,2.759
9/19/2018,2.752
9/18/2018,2.753
9/17/2018,2.697
9/14/2018,2.711
9/13/2018,2.686
9/12/2018,2.67
9/11/2018,2.669
9/10/2018,2.62
9/7/2018,2.626
9/6/2018,2.556
9/5/2018,2.579
9/4/2018,2.573
9/3/2018,2.54
8/31/2018,2.54
8/30/2018,2.553
8/29/2018,2.587
8/28/2018,2.576
8/27/2018,2.547
8/24/2018,2.521
8/23/2018,2.529
8/22/2018,2.515
8/21/2018,2.522
8/20/2018,2.509
8/17/2018,2.546
8/16/2018,2.542
8/15/2018,2.539
8/14/2018,2.58
8/13/2018,2.556
8/10/2018,2.545
8/9/2018,2.598
8/8/2018,2.622
8/7/2018,2.635
8/6/2018,2.603
8/3/2018,2.613
8/2/2018,2.649
8/1/2018,2.661
7/31/2018,2.632
7/30/2018,2.644
7/27/2018,2.632
7/26/2018,2.647
7/25/2018,2.643
7/24/2018,2.62
7/23/2018,2.614
7/20/2018,2.568
7/19/2018,2.529
7/18/2018,2.553
7/17/2018,2.539
7/16/2018,2.527
7/13/2018,2.499
7/12/2018,2.52
7/11/2018,2.523
7/10/2018,2.52
7/9/2018,2.528
7/6/2018,2.498
7/5/2018,2.508
7/4/2018,2.498
7/3/2018,2.498
7/2/2018,2.528
6/29/2018,2.518
6/28/2018,2.49
6/27/2018,2.486
6/26/2018,2.533
6/25/2018,2.54
6/22/2018,2.552
6/21/2018,2.554
6/20/2018,2.58
6/19/2018,2.545
6/18/2018,2.573
6/15/2018,2.567
6/14/2018,2.574
6/13/2018,2.593
6/12/2018,2.57
6/11/2018,2.548
6/8/2018,2.534
6/7/2018,2.506
6/6/2018,2.547
6/5/2018,2.512
6/4/2018,2.531
6/1/2018,2.485
5/31/2018,2.435
5/30/2018,2.411
5/29/2018,2.317
5/28/2018,2.498
5/25/2018,2.502
5/24/2018,2.543
5/23/2018,2.552
5/22/2018,2.624
5/21/2018,2.628
5/18/2018,2.62
5/17/2018,2.668
5/16/2018,2.669
5/15/2018,2.649
5/14/2018,2.594
5/11/2018,2.568
5/10/2018,2.563
5/9/2018,2.57
5/8/2018,2.546
5/7/2018,2.52
5/4/2018,2.516
5/3/2018,2.511
5/2/2018,2.528
5/1/2018,2.536
4/30/2018,2.521
4/27/2018,2.521
4/26/2018,2.535
4/25/2018,2.56
4/24/2018,2.541
4/23/2018,2.534
4/20/2018,2.52
4/19/2018,2.474
4/18/2018,2.449
4/17/2018,2.413
4/16/2018,2.403
4/13/2018,2.4
4/12/2018,2.407
4/11/2018,2.355
4/10/2018,2.362
4/9/2018,2.336
4/6/2018,2.326
4/5/2018,2.386
4/4/2018,2.371
4/3/2018,2.344
4/2/2018,2.313
3/30/2018,2.347
3/29/2018,2.326
3/28/2018,2.349
3/27/2018,2.334
3/26/2018,2.403
3/23/2018,2.364
3/22/2018,2.391
3/21/2018,2.432
3/20/2018,2.444
3/19/2018,2.403
3/16/2018,2.388
3/15/2018,2.372
3/14/2018,2.348
3/13/2018,2.361
3/12/2018,2.381
3/9/2018,2.402
3/8/2018,2.384
3/7/2018,2.397
3/6/2018,2.4
3/5/2018,2.383
3/2/2018,2.371
3/1/2018,2.316
2/28/2018,2.372
2/27/2018,2.386
2/26/2018,2.332
2/23/2018,2.348
2/22/2018,2.375
2/21/2018,2.409
2/20/2018,2.346
2/19/2018,2.339
2/16/2018,2.338
2/15/2018,2.363
2/14/2018,2.35
2/13/2018,2.26
2/12/2018,2.274
2/9/2018,2.251
2/8/2018,2.245
2/7/2018,2.284
2/6/2018,2.284
2/5/2018,2.189
2/2/2018,2.35
2/1/2018,2.336
1/31/2018,2.271
1/30/2018,2.263
1/29/2018,2.244
1/26/2018,2.227
1/25/2018,2.186
1/24/2018,2.202
1/23/2018,2.179
1/22/2018,2.22
1/19/2018,2.219
1/18/2018,2.168
1/17/2018,2.156
1/16/2018,2.111
1/15/2018,2.107
1/12/2018,2.099
1/11/2018,2.08
1/10/2018,2.076
1/9/2018,2.084
1/8/2018,2.038
1/5/2018,2.046
1/4/2018,2.028
1/3/2018,1.998
1/2/2018,1.994
1/1/2018,1.966
12/29/2017,1.959
12/28/2017,1.984
12/27/2017,1.959
12/26/2017,1.994
12/22/2017,2.004
12/21/2017,2.002
12/20/2017,1.994
12/19/2017,1.9835
12/18/2017,1.937
12/15/2017,1.92
12/14/2017,1.915
12/13/2017,1.888
12/12/2017,1.951
12/11/2017,1.941
12/8/2017,1.922
12/7/2017,1.918
12/6/2017,1.908
12/5/2017,1.919
12/4/2017,1.927
12/1/2017,1.903
11/30/2017,1.931
11/29/2017,1.9
11/28/2017,1.854
11/27/2017,1.848
11/24/2017,1.862
11/23/2017,1.843
11/22/2017,1.839
11/21/2017,1.884
11/20/2017,1.877
11/17/2017,1.848
11/16/2017,1.867
11/15/2017,1.821
11/14/2017,1.854
11/13/2017,1.877
11/10/2017,1.8535
11/9/2017,1.813
11/8/2017,1.81
11/7/2017,1.798
11/6/2017,1.8
11/3/2017,1.81
11/2/2017,1.821
