,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
230,16520.99,506.0,60,51134.61570781427,10.842216957964279,0.0,-1
232,12041.5,490.0,63,36921.8608305275,10.51655908904026,0.0,-1
233,22869.91,625.0,20,41265.6009914078,10.627784526113333,0.0,-1
234,20336.89,574.0,10,38001.17022587269,10.545372233652056,0.41379310344827586,7
235,13046.0,512.0,60,19691.66703539823,9.887950832112258,1.2413793103448276,56
236,25158.0,485.0,8,57118.28785357737,10.952879622012004,0.0,-1
238,10969.99,660.0,65,23902.66191693291,10.081745108995142,0.8275862068965517,64
239,14146.0,457.0,63,22259.747259088286,10.010535270725917,0.0,-1
240,15258.92,536.0,13,33762.8375974026,10.427115997233482,0.7384615384615385,10
241,11773.5,576.0,11,28005.72513089005,10.24016423721677,0.0,-1
242,13286.07,605.0,9,26907.7465230312,10.20016949896701,0.0,-1
244,18675.9,470.0,10,28526.809136771302,10.258599595568258,0.4,7
245,22645.65,520.0,7,47541.90774268105,10.769366869319821,0.0,-1
248,12830.68,608.0,62,23009.066701777487,10.043643621658244,0.0,-1
249,9257.8,646.0,62,28020.274666666664,10.240683622364962,0.0,-1
250,12041.0,594.0,61,26907.041837571778,10.20014330968035,0.0,-1
251,14180.66,576.0,60,26658.46641821946,10.190862068380454,0.0,-1
253,15502.65,555.0,69,43091.039387755096,10.67107035164074,0.0,-1
256,9275.0,514.0,61,36856.277372262775,10.514781232424822,0.0,-1
258,13241.5,507.0,61,23757.836411609496,10.075667709212912,0.0,-1
260,12366.0,582.0,63,27125.41935483871,10.208226550809474,0.0,-1
261,13851.83,514.0,63,24883.85587574356,10.121974513773722,0.42105263157894735,61
262,17182.36,568.0,9,29784.218418367353,10.30173394893848,0.0,-1
263,29061.1,508.0,8,50712.27276814386,10.83392322671874,0.8421052631578947,5
264,28651.0,524.0,6,59559.882938026014,10.994737521349842,0.42105263157894735,5
265,14133.0,610.0,7,22170.531755196305,10.006519287672118,0.0,-1
266,20008.0,564.0,6,37056.398091342875,10.520196303840821,0.0,-1
267,17665.58,541.0,6,32148.279209645018,10.378114204427561,0.0,-1
268,11893.64,577.0,6,27385.61006779661,10.217772974413416,0.8275862068965517,5
269,19217.38,536.0,6,52265.88734734735,10.864099187673013,0.42105263157894735,3
270,18245.0,509.0,6,36263.10534016094,10.498556121572946,0.0,-1
271,9275.5,579.0,61,35037.91098748261,10.464185925335968,0.0,-1
273,22970.04,577.0,9,43550.0409217877,10.6816659219309,0.0,-1
274,14643.0,540.0,10,21843.815934065933,9.991673136852452,0.42105263157894735,6
275,17964.76,506.0,61,59242.23407047387,10.989389979866358,0.0,-1
276,11144.92,491.0,61,31344.365678756476,10.35278980674326,1.6842105263157894,58
277,14113.75,599.0,61,30376.461141950833,10.321423282924627,0.0,-1
279,10920.75,539.0,63,18596.82993090452,9.830746411353461,1.263157894736842,60
281,13925.17,475.0,13,28469.936553544492,10.25660395173235,0.0,-1
283,18456.14,483.0,9,27750.746278424846,10.231018011729184,0.0,-1
284,19583.39,517.0,8,43804.10089933993,10.687482719820537,0.0,-1
285,22999.33,460.0,63,83549.84490616624,11.33319867772219,0.0,-1
287,16509.85,562.0,7,25406.980976717776,10.142779256847655,0.42105263157894735,6
288,26928.48,607.0,6,48296.61204500332,10.78511669318467,0.0,-1
289,17795.2,569.0,9,31757.046640316206,10.365869921122766,24.0,8
290,25676.0,612.0,8,35872.24548736462,10.487719169274111,0.0,-1
291,25235.0,505.0,6,71135.91571279918,11.172347631889165,0.0,-1
292,29589.87,498.0,6,38612.214754335255,10.561323949807779,0.0,-1
293,25338.48,502.0,6,47503.07426989619,10.768549709399887,18.0,5
294,18976.3,494.0,6,62614.855907429956,11.044757843748659,0.0,-1
297,12460.64,522.0,9,27344.743209076172,10.216279584955144,0.0,-1
298,16120.0,485.0,63,64647.170370370375,11.07669961480239,0.0,-1
299,15485.04,493.0,61,61440.64258064516,11.025826826436218,0.0,-1
301,20022.67,494.0,24,54577.92306451612,10.907384740488022,0.0,-1
304,18940.33,502.0,5,31613.98291358025,10.361354798967158,0.0,-1
305,11385.0,527.0,63,35453.51958525345,10.475977810113937,0.0,-1
309,19745.6,583.0,61,31658.62232779097,10.362765817889068,0.0,-1
311,24932.78,593.0,24,54953.88244897959,10.914249611548426,12.0,22
313,16905.12,583.0,9,34763.00380807311,10.456308991297988,0.0,-1
314,9198.3,551.0,9,29321.617473435646,10.286080320694392,9.6,8
315,17825.9,479.0,9,30308.520151133504,10.319184145076806,0.0,-1
316,16278.8,556.0,8,28802.59501965924,10.268220766914117,0.0,-1
317,15108.14,592.0,8,34107.0050167224,10.43725806788497,0.0,-1
320,23135.0,528.0,8,46824.96251874063,10.754171726857951,0.0,-1
323,15513.28,576.0,8,23637.61625282167,10.070594631106779,0.0,-1
326,30802.85,521.0,7,59704.01651112706,10.997154575360948,0.0,-1
330,18354.86,475.0,7,45972.28385899815,10.735793969075829,0.0,-1
332,28317.04,521.0,8,42641.387618516455,10.66058060095836,6.0,7
334,16594.96,576.0,7,27471.730226854692,10.22091276315801,0.0,-1
337,21733.2,622.0,7,38202.890625,10.550666462543294,0.0,-1
